19	28
e	e	e	e	e	e	e	e	e	w	w	w	w	w	w	e	w	w	w	w	e	e	e	e	e	e	e	e
e	e	w	w	w	w	w	w	w	w	g	g	g	g	w	w	w	g	g	w	w	e	e	e	e	e	e	e
e	w	w	g	g	w	w	w	g	g	g	g	Ph	g	g	g	g	g	g	g	w	e	e	e	e	e	e	e
e	w	g	g	Pm	g	g	g	g	Ph	g	g	g	g	g	g	g	g	Pm	g	w	e	e	e	e	e	e	e
e	w	g	Pm	g	g	g	g	g	g	g	g	g	g	g	w	g	Pm	g	g	w	w	e	e	e	e	e	e
e	w	w	g	g	g	w	w	g	g	g	g	Sb	w	w	w	w	w	Sb	g	Sb	w	e	e	e	e	e	e
e	w	w	w	w	w	w	w	w	w	w	Sd	w	w	e	w	w	w	w	Sd	w	w	e	w	w	w	w	w
w	w	g	g	g	g	w	w	w	g	Sb	g	Sb	w	e	w	w	g	g	g	Sb	w	w	w	g	g	g	w
w	g	g	g	g	g	g	g	g	Pm	g	g	g	w	e	w	g	g	g	g	g	g	g	g	g	g	g	w
w	g	2	g	g	1	g	w	g	g	g	Pm	g	w	e	w	g	Ph	g	g	g	g	g	g	Pm	g	g	w
w	g	g	g	g	g	g	w	g	g	g	g	w	w	e	w	g	g	g	Ph	g	g	w	w	g	g	w	w
w	w	g	g	g	g	w	w	w	g	g	w	w	e	e	w	w	g	g	g	g	w	w	w	g	g	w	e
e	w	w	w	g	w	w	w	w	w	w	w	e	e	e	e	w	w	g	w	w	w	w	w	w	w	w	e
e	e	w	g	g	g	w	w	g	g	w	w	w	e	e	w	w	g	g	g	w	w	w	g	g	w	e	e
e	w	w	g	g	g	g	w	g	g	Ph	g	w	e	e	w	g	g	g	Pm	Sb	w	Sb	Ph	g	w	w	e
e	w	g	g	Pm	g	g	g	g	g	g	g	w	e	e	w	g	Pm	g	g	g	Sd	g	g	g	g	w	e
e	w	g	g	g	g	w	w	g	Pm	g	g	w	e	e	w	w	g	g	g	Sb	w	g	g	Ph	g	w	e
e	w	w	g	g	g	w	w	w	g	g	w	w	e	e	e	w	w	w	w	w	w	g	g	g	w	w	e
e	e	w	w	w	w	w	w	w	w	w	w	e	e	e	e	e	e	e	e	e	w	w	Nd	w	w	e	e
